Date,30_Year_Treasury
2007-07-25,5.04
2007-07-26,4.95
2007-07-27,4.95
2007-07-30,4.97
2007-07-31,4.92
2007-08-01,4.90
2007-08-02,4.91
2007-08-03,4.87
2007-08-06,4.89
2007-08-07,4.92
2007-08-08,5.01
2007-08-09,5.02
2007-08-10,5.03
2007-08-13,5.01
2007-08-14,4.99
2007-08-15,5.00
2007-08-16,4.92
2007-08-17,5.00
2007-08-20,4.98
2007-08-21,4.95
2007-08-22,4.96
2007-08-23,4.93
2007-08-24,4.88
2007-08-27,4.87
2007-08-28,4.86
2007-08-29,4.88
2007-08-30,4.83
2007-08-31,4.83
2007-09-03,.
2007-09-04,4.84
2007-09-05,4.78
2007-09-06,4.79
2007-09-07,4.70
2007-09-10,4.65
2007-09-11,4.65
2007-09-12,4.68
2007-09-13,4.75
2007-09-14,4.72
2007-09-17,4.72
2007-09-18,4.77
2007-09-19,4.83
2007-09-20,4.96
2007-09-21,4.89
2007-09-24,4.88
2007-09-25,4.89
2007-09-26,4.90
2007-09-27,4.84
2007-09-28,4.83
2007-10-01,4.79
2007-10-02,4.77
2007-10-03,4.79
2007-10-04,4.77
2007-10-05,4.87
2007-10-08,.
2007-10-09,4.87
2007-10-10,4.86
2007-10-11,4.87
2007-10-12,4.91
2007-10-15,4.91
2007-10-16,4.90
2007-10-17,4.82
2007-10-18,4.78
2007-10-19,4.68
2007-10-22,4.68
2007-10-23,4.69
2007-10-24,4.64
2007-10-25,4.66
2007-10-26,4.68
2007-10-29,4.66
2007-10-30,4.68
2007-10-31,4.74
2007-11-01,4.64
2007-11-02,4.61
2007-11-05,4.63
2007-11-06,4.66
2007-11-07,4.67
2007-11-08,4.67
2007-11-09,4.61
2007-11-12,.
2007-11-13,4.61
2007-11-14,4.61
2007-11-15,4.54
2007-11-16,4.52
2007-11-19,4.47
2007-11-20,4.49
2007-11-21,4.46
2007-11-22,.
2007-11-23,4.43
2007-11-26,4.26
2007-11-27,4.36
2007-11-28,4.41
2007-11-29,4.35
2007-11-30,4.40
2007-12-03,4.34
2007-12-04,4.34
2007-12-05,4.39
2007-12-06,4.49
2007-12-07,4.58
2007-12-10,4.60
2007-12-11,4.47
2007-12-12,4.51
2007-12-13,4.61
2007-12-14,4.66
2007-12-17,4.62
2007-12-18,4.55
2007-12-19,4.47
2007-12-20,4.46
2007-12-21,4.58
2007-12-24,4.62
2007-12-25,.
2007-12-26,4.68
2007-12-27,4.61
2007-12-28,4.51
2007-12-31,4.45
2008-01-01,.
2008-01-02,4.35
2008-01-03,4.37
2008-01-04,4.36
2008-01-07,4.34
2008-01-08,4.35
2008-01-09,4.32
2008-01-10,4.44
2008-01-11,4.39
2008-01-14,4.37
2008-01-15,4.28
2008-01-16,4.32
2008-01-17,4.25
2008-01-18,4.28
2008-01-21,.
2008-01-22,4.23
2008-01-23,4.23
2008-01-24,4.36
2008-01-25,4.28
2008-01-28,4.29
2008-01-29,4.34
2008-01-30,4.44
2008-01-31,4.35
2008-02-01,4.32
2008-02-04,4.37
2008-02-05,4.33
2008-02-06,4.37
2008-02-07,4.51
2008-02-08,4.43
2008-02-11,4.41
2008-02-12,4.46
2008-02-13,4.52
2008-02-14,4.67
2008-02-15,4.58
2008-02-18,.
2008-02-19,4.66
2008-02-20,4.65
2008-02-21,4.54
2008-02-22,4.58
2008-02-25,4.67
2008-02-26,4.66
2008-02-27,4.65
2008-02-28,4.55
2008-02-29,4.41
2008-03-03,4.42
2008-03-04,4.52
2008-03-05,4.60
2008-03-06,4.57
2008-03-07,4.55
2008-03-10,4.45
2008-03-11,4.53
2008-03-12,4.40
2008-03-13,4.47
2008-03-14,4.35
2008-03-17,4.29
2008-03-18,4.35
2008-03-19,4.22
2008-03-20,4.17
2008-03-21,.
2008-03-24,4.33
2008-03-25,4.30
2008-03-26,4.33
2008-03-27,4.38
2008-03-28,4.33
2008-03-31,4.30
2008-04-01,4.40
2008-04-02,4.38
2008-04-03,4.40
2008-04-04,4.32
2008-04-07,4.36
2008-04-08,4.37
2008-04-09,4.31
2008-04-10,4.34
2008-04-11,4.30
2008-04-14,4.35
2008-04-15,4.42
2008-04-16,4.54
2008-04-17,4.54
2008-04-18,4.51
2008-04-21,4.48
2008-04-22,4.46
2008-04-23,4.49
2008-04-24,4.56
2008-04-25,4.61
2008-04-28,4.57
2008-04-29,4.55
2008-04-30,4.49
2008-05-01,4.49
2008-05-02,4.57
2008-05-05,4.58
2008-05-06,4.64
2008-05-07,4.61
2008-05-08,4.50
2008-05-09,4.53
2008-05-12,4.53
2008-05-13,4.62
2008-05-14,4.63
2008-05-15,4.56
2008-05-16,4.58
2008-05-19,4.56
2008-05-20,4.53
2008-05-21,4.55
2008-05-22,4.63
2008-05-23,4.57
2008-05-26,.
2008-05-27,4.65
2008-05-28,4.71
2008-05-29,4.76
2008-05-30,4.72
2008-06-02,4.68
2008-06-03,4.63
2008-06-04,4.71
2008-06-05,4.75
2008-06-06,4.65
2008-06-09,4.64
2008-06-10,4.70
2008-06-11,4.72
2008-06-12,4.77
2008-06-13,4.79
2008-06-16,4.77
2008-06-17,4.78
2008-06-18,4.72
2008-06-19,4.76
2008-06-20,4.71
2008-06-23,4.71
2008-06-24,4.65
2008-06-25,4.65
2008-06-26,4.62
2008-06-27,4.53
2008-06-30,4.53
2008-07-01,4.55
2008-07-02,4.51
2008-07-03,4.53
2008-07-04,.
2008-07-07,4.51
2008-07-08,4.46
2008-07-09,4.42
2008-07-10,4.42
2008-07-11,4.52
2008-07-14,4.47
2008-07-15,4.48
2008-07-16,4.59
2008-07-17,4.65
2008-07-18,4.66
2008-07-21,4.64
2008-07-22,4.67
2008-07-23,4.69
2008-07-24,4.60
2008-07-25,4.69
2008-07-28,4.63
2008-07-29,4.64
2008-07-30,4.64
2008-07-31,4.59
2008-08-01,4.57
2008-08-04,4.58
2008-08-05,4.63
2008-08-06,4.68
2008-08-07,4.56
2008-08-08,4.55
2008-08-11,4.61
2008-08-12,4.55
2008-08-13,4.57
2008-08-14,4.52
2008-08-15,4.47
2008-08-18,4.44
2008-08-19,4.47
2008-08-20,4.43
2008-08-21,4.46
2008-08-22,4.46
2008-08-25,4.40
2008-08-26,4.40
2008-08-27,4.38
2008-08-28,4.38
2008-08-29,4.43
2008-09-01,.
2008-09-02,4.36
2008-09-03,4.32
2008-09-04,4.27
2008-09-05,4.27
2008-09-08,4.26
2008-09-09,4.20
2008-09-10,4.23
2008-09-11,4.20
2008-09-12,4.32
2008-09-15,4.12
2008-09-16,4.08
2008-09-17,4.08
2008-09-18,4.14
2008-09-19,4.36
2008-09-22,4.41
2008-09-23,4.43
2008-09-24,4.40
2008-09-25,4.40
2008-09-26,4.36
2008-09-29,4.13
2008-09-30,4.31
2008-10-01,4.22
2008-10-02,4.16
2008-10-03,4.11
2008-10-06,3.99
2008-10-07,4.01
2008-10-08,4.09
2008-10-09,4.14
2008-10-10,4.15
2008-10-13,.
2008-10-14,4.27
2008-10-15,4.25
2008-10-16,4.25
2008-10-17,4.32
2008-10-20,4.26
2008-10-21,4.20
2008-10-22,4.07
2008-10-23,3.99
2008-10-24,4.11
2008-10-27,4.12
2008-10-28,4.19
2008-10-29,4.26
2008-10-30,4.30
2008-10-31,4.35
2008-11-03,4.33
2008-11-04,4.20
2008-11-05,4.13
2008-11-06,4.19
2008-11-07,4.25
2008-11-10,4.21
2008-11-11,.
2008-11-12,4.17
2008-11-13,4.34
2008-11-14,4.22
2008-11-17,4.20
2008-11-18,4.14
2008-11-19,3.96
2008-11-20,3.64
2008-11-21,3.70
2008-11-24,3.78
2008-11-25,3.63
2008-11-26,3.54
2008-11-27,.
2008-11-28,3.45
2008-12-01,3.22
2008-12-02,3.18
2008-12-03,3.17
2008-12-04,3.06
2008-12-05,3.11
2008-12-08,3.16
2008-12-09,3.06
2008-12-10,3.09
2008-12-11,3.07
2008-12-12,3.07
2008-12-15,2.98
2008-12-16,2.86
2008-12-17,2.66
2008-12-18,2.53
2008-12-19,2.55
2008-12-22,2.60
2008-12-23,2.63
2008-12-24,2.63
2008-12-25,.
2008-12-26,2.61
2008-12-29,2.63
2008-12-30,2.58
2008-12-31,2.69
2009-01-01,.
2009-01-02,2.83
2009-01-05,3.00
2009-01-06,3.04
2009-01-07,3.05
2009-01-08,3.04
2009-01-09,3.04
2009-01-12,2.99
2009-01-13,3.00
2009-01-14,2.89
2009-01-15,2.86
2009-01-16,2.89
2009-01-19,.
2009-01-20,2.97
2009-01-21,3.15
2009-01-22,3.25
2009-01-23,3.32
2009-01-26,3.39
2009-01-27,3.26
2009-01-28,3.44
2009-01-29,3.57
2009-01-30,3.58
2009-02-02,3.47
2009-02-03,3.64
2009-02-04,3.65
2009-02-05,3.63
2009-02-06,3.70
2009-02-09,3.69
2009-02-10,3.54
2009-02-11,3.45
2009-02-12,3.47
2009-02-13,3.68
2009-02-16,.
2009-02-17,3.47
2009-02-18,3.54
2009-02-19,3.68
2009-02-20,3.56
2009-02-23,3.53
2009-02-24,3.49
2009-02-25,3.59
2009-02-26,3.66
2009-02-27,3.71
2009-03-02,3.64
2009-03-03,3.67
2009-03-04,3.69
2009-03-05,3.51
2009-03-06,3.50
2009-03-09,3.59
2009-03-10,3.70
2009-03-11,3.67
2009-03-12,3.63
2009-03-13,3.66
2009-03-16,3.76
2009-03-17,3.83
2009-03-18,3.57
2009-03-19,3.62
2009-03-20,3.65
2009-03-23,3.69
2009-03-24,3.60
2009-03-25,3.73
2009-03-26,3.66
2009-03-27,3.62
2009-03-30,3.60
2009-03-31,3.56
2009-04-01,3.51
2009-04-02,3.57
2009-04-03,3.70
2009-04-06,3.73
2009-04-07,3.72
2009-04-08,3.66
2009-04-09,3.76
2009-04-10,.
2009-04-13,3.69
2009-04-14,3.64
2009-04-15,3.66
2009-04-16,3.72
2009-04-17,3.79
2009-04-20,3.69
2009-04-21,3.74
2009-04-22,3.82
2009-04-23,3.80
2009-04-24,3.89
2009-04-27,3.84
2009-04-28,3.97
2009-04-29,4.01
2009-04-30,4.05
2009-05-01,4.09
2009-05-04,4.06
2009-05-05,4.06
2009-05-06,4.09
2009-05-07,4.25
2009-05-08,4.28
2009-05-11,4.18
2009-05-12,4.16
2009-05-13,4.09
2009-05-14,4.06
2009-05-15,4.09
2009-05-18,4.18
2009-05-19,4.21
2009-05-20,4.14
2009-05-21,4.30
2009-05-22,4.38
2009-05-25,.
2009-05-26,4.45
2009-05-27,4.59
2009-05-28,4.54
2009-05-29,4.34
2009-06-01,4.55
2009-06-02,4.50
2009-06-03,4.45
2009-06-04,4.58
2009-06-05,4.63
2009-06-08,4.65
2009-06-09,4.64
2009-06-10,4.76
2009-06-11,4.69
2009-06-12,4.65
2009-06-15,4.61
2009-06-16,4.48
2009-06-17,4.50
2009-06-18,4.63
2009-06-19,4.52
2009-06-22,4.45
2009-06-23,4.37
2009-06-24,4.44
2009-06-25,4.33
2009-06-26,4.30
2009-06-29,4.31
2009-06-30,4.32
2009-07-01,4.34
2009-07-02,4.32
2009-07-03,.
2009-07-06,4.35
2009-07-07,4.31
2009-07-08,4.17
2009-07-09,4.31
2009-07-10,4.20
2009-07-13,4.25
2009-07-14,4.38
2009-07-15,4.48
2009-07-16,4.45
2009-07-17,4.53
2009-07-20,4.47
2009-07-21,4.38
2009-07-22,4.45
2009-07-23,4.58
2009-07-24,4.55
2009-07-27,4.62
2009-07-28,4.56
2009-07-29,4.50
2009-07-30,4.44
2009-07-31,4.31
2009-08-03,4.42
2009-08-04,4.45
2009-08-05,4.57
2009-08-06,4.53
2009-08-07,4.61
2009-08-10,4.52
2009-08-11,4.44
2009-08-12,4.53
2009-08-13,4.44
2009-08-14,4.41
2009-08-17,4.33
2009-08-18,4.35
2009-08-19,4.28
2009-08-20,4.24
2009-08-21,4.36
2009-08-24,4.27
2009-08-25,4.22
2009-08-26,4.20
2009-08-27,4.23
2009-08-28,4.21
2009-08-31,4.18
2009-09-01,4.19
2009-09-02,4.09
2009-09-03,4.15
2009-09-04,4.27
2009-09-07,.
2009-09-08,4.31
2009-09-09,4.33
2009-09-10,4.19
2009-09-11,4.18
2009-09-14,4.22
2009-09-15,4.27
2009-09-16,4.26
2009-09-17,4.19
2009-09-18,4.24
2009-09-21,4.23
2009-09-22,4.20
2009-09-23,4.21
2009-09-24,4.17
2009-09-25,4.10
2009-09-28,4.04
2009-09-29,4.03
2009-09-30,4.03
2009-10-01,3.97
2009-10-02,4.01
2009-10-05,4.01
2009-10-06,4.07
2009-10-07,3.99
2009-10-08,4.09
2009-10-09,4.22
2009-10-12,.
2009-10-13,4.16
2009-10-14,4.28
2009-10-15,4.31
2009-10-16,4.24
2009-10-19,4.21
2009-10-20,4.16
2009-10-21,4.22
2009-10-22,4.24
2009-10-23,4.29
2009-10-26,4.37
2009-10-27,4.29
2009-10-28,4.25
2009-10-29,4.35
2009-10-30,4.23
2009-11-02,4.26
2009-11-03,4.34
2009-11-04,4.41
2009-11-05,4.41
2009-11-06,4.40
2009-11-09,4.40
2009-11-10,4.41
2009-11-11,.
2009-11-12,4.41
2009-11-13,4.36
2009-11-16,4.26
2009-11-17,4.26
2009-11-18,4.29
2009-11-19,4.29
2009-11-20,4.30
2009-11-23,4.29
2009-11-24,4.25
2009-11-25,4.23
2009-11-26,.
2009-11-27,4.21
2009-11-30,4.20
2009-12-01,4.26
2009-12-02,4.26
2009-12-03,4.33
2009-12-04,4.40
2009-12-07,4.40
2009-12-08,4.39
2009-12-09,4.41
2009-12-10,4.50
2009-12-11,4.49
2009-12-14,4.48
2009-12-15,4.52
2009-12-16,4.52
2009-12-17,4.42
2009-12-18,4.46
2009-12-21,4.56
2009-12-22,4.60
2009-12-23,4.61
2009-12-24,4.68
2009-12-25,.
2009-12-28,4.69
2009-12-29,4.64
2009-12-30,4.61
2009-12-31,4.63
